"skill_id","skills","skill_demand_count","average_salary","job_location"
8,"go","27","115319.89","Anywhere"
234,"confluence","11","114209.91","Anywhere"
97,"hadoop","22","113192.57","Anywhere"
80,"snowflake","37","112947.97","Anywhere"
74,"azure","34","111225.10","Anywhere"
77,"bigquery","13","109653.85","Anywhere"
76,"aws","32","108317.30","Anywhere"
4,"java","17","106906.44","Anywhere"
194,"ssis","12","106683.33","Anywhere"
233,"jira","20","104917.90","Anywhere"
79,"oracle","37","104533.70","Anywhere"
185,"looker","49","103795.30","Anywhere"
2,"nosql","13","101413.73","Anywhere"
1,"python","236","101397.22","Anywhere"
5,"r","148","100498.77","Anywhere"
78,"redshift","16","99936.44","Anywhere"
187,"qlik","13","99630.81","Anywhere"
182,"tableau","230","99287.65","Anywhere"
197,"ssrs","14","99171.43","Anywhere"
92,"spark","13","99076.92","Anywhere"
13,"c++","11","98958.23","Anywhere"
186,"sas","63","98902.37","Anywhere"
7,"sas","63","98902.37","Anywhere"
61,"sql server","35","97785.73","Anywhere"
9,"javascript","20","97587.00","Anywhere"
141,"express","15","142969.83","Los Angeles, CA"
1,"python","32","123809.67","Los Angeles, CA"
5,"r","20","119814.03","Los Angeles, CA"
0,"sql","55","117779.26","Los Angeles, CA"
183,"power bi","15","109385.86","Los Angeles, CA"
182,"tableau","30","106918.76","Los Angeles, CA"
8,"go","9","106328.89","Los Angeles, CA"
181,"excel","37","92682.01","Los Angeles, CA"
188,"word","16","84196.09","Los Angeles, CA"
196,"powerpoint","13","84014.57","Los Angeles, CA"
198,"outlook","8","73553.55","Los Angeles, CA"
