"skills","skill_type","skill_average_salary","job_location"
"pyspark","libraries","208172.25","Anywhere"
"bitbucket","other","189154.50","Anywhere"
"couchbase","databases","160515.00","Anywhere"
"watson","cloud","160515.00","Anywhere"
"datarobot","analyst_tools","155485.50","Anywhere"
"gitlab","other","154500.00","Anywhere"
"swift","programming","153750.00","Anywhere"
"jupyter","libraries","152776.50","Anywhere"
"pandas","libraries","151821.33","Anywhere"
"elasticsearch","databases","145000.00","Anywhere"
"golang","programming","145000.00","Anywhere"
"numpy","libraries","143512.50","Anywhere"
"databricks","cloud","141906.60","Anywhere"
"linux","os","136507.50","Anywhere"
"kubernetes","other","132500.00","Anywhere"
"atlassian","other","131161.80","Anywhere"
"twilio","sync","127000.00","Anywhere"
"airflow","libraries","126103.00","Anywhere"
"scikit-learn","libraries","125781.25","Anywhere"
"jenkins","other","125436.33","Anywhere"
"notion","async","125000.00","Anywhere"
"scala","programming","124903.00","Anywhere"
"postgresql","databases","123878.75","Anywhere"
"gcp","cloud","122500.00","Anywhere"
"microstrategy","analyst_tools","121619.25","Anywhere"
"hadoop","libraries","204584.50","Los Angeles, CA"
"kafka","libraries","204584.50","Los Angeles, CA"
"mongodb","databases","204584.50","Los Angeles, CA"
"mysql","databases","204584.50","Los Angeles, CA"
"mongodb","programming","204584.50","Los Angeles, CA"
"cassandra","databases","204584.50","Los Angeles, CA"
"pandas","libraries","204584.50","Los Angeles, CA"
"ssis","analyst_tools","158950.00","Los Angeles, CA"
"spark","libraries","157292.25","Los Angeles, CA"
"gdpr","libraries","148675.00","Los Angeles, CA"
"express","webframeworks","142969.83","Los Angeles, CA"
"nosql","programming","141542.25","Los Angeles, CA"
"ssrs","analyst_tools","138225.00","Los Angeles, CA"
"gcp","cloud","137825.00","Los Angeles, CA"
"airflow","libraries","135941.67","Los Angeles, CA"
"alteryx","analyst_tools","133000.00","Los Angeles, CA"
"postgresql","databases","132528.17","Los Angeles, CA"
"flow","other","129651.90","Los Angeles, CA"
"perl","programming","125557.50","Los Angeles, CA"
"python","programming","123809.67","Los Angeles, CA"
"git","other","120739.00","Los Angeles, CA"
"r","programming","119814.03","Los Angeles, CA"
"sql","programming","117779.26","Los Angeles, CA"
"crystal","programming","117500.00","Los Angeles, CA"
"sql server","databases","117316.67","Los Angeles, CA"
